scheme_code,nav_value,date
143704,15.2498,2023-04-27
143704,15.2574,2023-04-28
143704,15.2634,2023-05-02
143704,15.3841,2023-05-03
143704,15.4013,2023-05-04
143704,15.3845,2023-05-08
143704,15.3917,2023-05-09
143704,15.4063,2023-05-10
143704,15.4246,2023-05-11
143704,15.4619,2023-05-12
143704,15.4769,2023-05-15
143704,15.4931,2023-05-16
143704,15.523,2023-05-17
143704,15.5454,2023-05-18
143704,15.5255,2023-05-19
143704,15.5395,2023-05-22
143704,15.5095,2023-05-23
143704,15.5373,2023-05-24
143704,15.548,2023-05-25
143704,15.5649,2023-05-26
143704,15.5493,2023-05-29
143704,15.5565,2023-05-30
143704,15.5655,2023-05-31
143704,15.5868,2023-06-01
143704,15.5662,2023-06-02
143704,15.5594,2023-06-05
143704,15.5884,2023-06-06
143704,15.5938,2023-06-07
143704,15.5288,2023-06-08
143704,15.5055,2023-06-09
143704,15.5446,2023-06-12
143704,15.5587,2023-06-13
143704,15.5491,2023-06-14
143704,15.5302,2023-06-15
143704,15.4958,2023-06-16
143704,15.4885,2023-06-19
143704,15.4874,2023-06-20
143704,15.4784,2023-06-21
143704,15.4378,2023-06-22
143704,15.438,2023-06-23
143704,15.466,2023-06-26
143704,15.471,2023-06-27
143704,15.4725,2023-06-28
143704,15.3986,2023-06-30
143704,15.4113,2023-07-03
143704,15.4251,2023-07-04
143704,15.4452,2023-07-05
143704,15.39,2023-07-06
143704,15.3832,2023-07-07
143704,15.3985,2023-07-10
143704,15.4696,2023-07-11
143704,15.4541,2023-07-12
143704,15.5213,2023-07-13
143704,15.5118,2023-07-14
143704,15.5515,2023-07-17
143704,15.5521,2023-07-18
143704,15.5141,2023-07-19
143704,15.5039,2023-07-20
143704,15.512,2023-07-21
143704,15.5364,2023-07-24
143704,15.5032,2023-07-25
143704,15.504,2023-07-26
143704,15.4663,2023-07-27
143704,15.4278,2023-07-28
143704,15.4101,2023-07-31
143704,15.4386,2023-08-01
143704,15.4364,2023-08-02
143704,15.3805,2023-08-03
143704,15.3296,2023-08-04
143704,15.3489,2023-08-07
143704,15.3777,2023-08-08
143704,15.3835,2023-08-09
143704,15.3874,2023-08-10
143704,15.3588,2023-08-11
143704,15.3653,2023-08-14
143704,15.3784,2023-08-18
143704,15.4031,2023-08-21
143704,15.4172,2023-08-22
143704,15.4641,2023-08-23
