scheme_code,market_cap,yield_to_maturity,average_maturity,modified_duration,pe_ratio,portfolio_turnover_ratio,row_num
120579,"{'market_cap_large': 50.4448, 'market_cap_mid': 21.1326, 'market_cap_others': 14.7746, 'market_cap_small': 13.648}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",0.0,0.53,1
152713,"{'market_cap_large': 96.2722, 'market_cap_mid': 3.4785, 'market_cap_others': 0.2492, 'market_cap_small': 0.0}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",41.3855,0.0,1
149763,"{'market_cap_large': 51.6293, 'market_cap_mid': 27.7882, 'market_cap_others': 4.7511, 'market_cap_small': 15.8314}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",57.2583,0.89,1
120152,"{'market_cap_large': 83.6156, 'market_cap_mid': 7.551, 'market_cap_others': 4.796, 'market_cap_small': 4.0374}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",32.2435,0.289,1
120665,"{'market_cap_large': 44.4062, 'market_cap_mid': 36.9895, 'market_cap_others': 5.6975, 'market_cap_small': 12.9068}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",30.238,0.36,1
152870,"{'market_cap_large': 20.268, 'market_cap_mid': 56.3216, 'market_cap_others': -0.1555, 'market_cap_small': 23.566}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",63.8283,0.2454,1
151755,"{'market_cap_large': 64.5956, 'market_cap_mid': 18.234, 'market_cap_others': 5.1613, 'market_cap_small': 12.0092}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",31.8873,0.73,1
152588,"{'market_cap_large': 53.1724, 'market_cap_mid': 28.4479, 'market_cap_others': -0.0156, 'market_cap_small': 18.3953}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",40.5237,0.3558,1
149700,"{'market_cap_large': 77.7442, 'market_cap_mid': 6.7428, 'market_cap_others': 8.337, 'market_cap_small': 7.176}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",28.2552,0.614,1
152657,"{'market_cap_large': 53.5775, 'market_cap_mid': 18.1947, 'market_cap_others': 6.8543, 'market_cap_small': 21.3735}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",34.222,0.62,1
120591,"{'market_cap_large': 12.402, 'market_cap_mid': 4.4964, 'market_cap_others': 13.3066, 'market_cap_small': 69.795}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",40.7641,0.56,1
153109,"{'market_cap_large': 23.3459, 'market_cap_mid': 36.4366, 'market_cap_others': 6.1294, 'market_cap_small': 34.0881}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",47.851,0.0,1
